"Navigate","Go to Matching Bracket","Ctrl+Shift+P","Editing Java Source"
"Views","Show View (Cheat Sheets)","Alt+Shift+Q, H","In Windows"
"Run/Debug","Run Maven Build","Alt+Shift+X, M","In Windows"
"Run/Debug","Debug JUnit Plug-in Test","Alt+Shift+D, P","In Windows"
"Text Editing","Collapse All","Ctrl+Shift+Numpad_Divide","Editing Text"
"Navigate","Open Structure","Ctrl+F3","Editing JavaScript Source"
"Run/Debug","Run to Line","Ctrl+R","Debugging"
"Text Editing","Join Lines","Ctrl+Alt+J","Editing Text"
"Edit","Select All","Ctrl+A","In Dialogs and Windows"
"File","Refresh","F5","In Windows"
"Refactor - JavaScript","Rename - Refactoring ","Alt+Shift+R","JavaScript View"
"Text Editing","Reset Structure","Ctrl+Shift+Numpad_Multiply","Editing Text"
"Navigate","Go to Previous Member","Ctrl+Shift+Up","Editing Java Source"
"Text Editing","Toggle Folding","Ctrl+Numpad_Divide","Editing Text"
"Run/Debug","Debug Java Applet","Alt+Shift+D, A","In Windows"
"Navigate","Go to Next Member","Ctrl+Shift+Down","Editing Java Source"
"Navigate","Next Sub-Tab","Alt+PageDown","In Dialogs and Windows"
"Navigate","Go to Matching Bracket","Ctrl+Shift+P","Editing JavaScript Source"
"Run/Debug","Coverage Last Launched","Ctrl+Shift+F11","In Windows"
"Window","Previous Editor","Alt+K","In Windows"
"Edit","Restore Last Selection","Alt+Shift+Down","Editing Java Source"
"File","New","Ctrl+N","In Windows"
"Uncategorized","Insert right guillemet","Ctrl+>","Editing Xtend Source"
"Run/Debug","Execute","Ctrl+U","In Windows"
"Window","Switch to Editor","Ctrl+Shift+E","In Windows"
"Navigate","Open Call Hierarchy","Ctrl+Alt+H","In Windows"
"Edit","Toggle Block Selection","Alt+Shift+A","Editing Text"
"Text Editing","Line Start","Home","Editing Text"
"Text Editing","Move Lines Up","Alt+Up","Embedded Xtext Editor context"
"Source","Toggle Comment","Ctrl+7","Editing JavaScript Source"
"Search","Declaration in Workspace","Ctrl+G","In Windows"
"Text Editing","Previous Word","Ctrl+Left","Embedded Xtext Editor context"
"Run/Debug","Java Breakpoint Properties","Alt+Enter","In Breakpoints View"
"Window","Show Ruler Context Menu","Ctrl+F10","Editing Text"
"Task","Show Tooltip Description","F4","In Tasks View"
"Refactor - JavaScript","Inline","Alt+Shift+I","JavaScript View"
"Run/Debug","Run Java Applet","Alt+Shift+X, A","In Windows"
"Task","Mark Task Complete","Alt+Shift+C","In Tasks View"
"Terminal view commands","Terminal view insert","Alt+F","Terminal widget context"
"Text Editing","Line End","End","Embedded Xtext Editor context"
"Navigate","Previous Sub-Tab","Alt+PageUp","In Dialogs and Windows"
"Navigate","Activate Task","Ctrl+F9","In Windows"
"Uncategorized","Open Call Hierarchy","Ctrl+Alt+H","Editing Xtext Source"
"Manifest Editor Source","Format Source","Ctrl+Shift+F","PDE editor"
"Text Editing","Text Start","Ctrl+Home","Embedded Xtext Editor context"
"Source","Quick Assist - Assign to field","Ctrl+2, F","Editing Java Source"
"Text Editing","To Upper Case","Ctrl+Shift+X","Editing Text"
"Edit","Word Completion","Alt+/","Editing Text"
"Source","Surround With Quick Menu","Alt+Shift+Z","In Windows"
"Views","Show View (Hierarchy)","Alt+Shift+Q, T","JavaScript View"
"Window","Next Editor","Alt+J","In Windows"
"Uncategorized","Open Type in Hierarchy","F4","Editing Xtext Source"
"Source","Toggle Comment","Ctrl+/","Editing Java Source"
"Edit","Add Maven Dependency","Ctrl+Shift+D","Editing XML Source"
"Navigate","Forward History","Alt+Right","In Windows"
"Run/Debug","Run Ant Build","Alt+Shift+X, Q","In Windows"
"Refactor - JavaScript","Change Function Signature","Alt+Shift+C","JavaScript View"
"Run/Debug","Inspect","Ctrl+Shift+I","In Dialogs and Windows"
"Navigate","Previous","Ctrl+,","In Windows"
"JAutodoc","Add Header with Dialog","Ctrl+Alt+O","Editing Java Source"
"Source","Toggle Mark Occurrences","Alt+Shift+O","Editing Java Source"
"Source","Add Block Comment","Ctrl+Shift+/","Editing JavaScript Source"
"Text Editing","Insert Line Above Current Line","Ctrl+Shift+Enter","Editing Text"
"Window","Show View Menu","Ctrl+F10","In Dialogs and Windows"
"Run/Debug","Close Rendering","Ctrl+W","In Memory View"
"Refactor - Java","Inline","Alt+Shift+I","In Windows"
"Navigate","Quick Outline","Ctrl+O","Editing JavaScript Source"
"Navigate","Go to Next Member","Ctrl+Shift+Down","Editing JavaScript Source"
"Text Editing","Line Start","Home","Embedded Xtext Editor context"
"Run/Debug","Debug Last Launched","F11","In Windows"
"Edit","Find Previous","Ctrl+Shift+K","Editing Text"
"Window","Quick Switch Editor","Ctrl+E","In Windows"
"Text Editing","Select Line Start","Shift+Home","Editing Text"
"Navigate","Quick Outline","Ctrl+Shift+O","Task Markup Editor Source Context"
"Uncategorized","Insert left guillemet","<","Editing Xtend Source"
"Uncategorized","Quick Outline","Ctrl+O","Editing Xtext Source"
"Text Editing","Previous Word","Ctrl+Left","Editing Text"
"Window","Toggle Toolbar Visibility","Shift+F10","In Windows"
"Task","Quick Outline","Ctrl+O","In Tasks Editor"
"Text Editing","Collapse","Ctrl+Numpad_Subtract","Editing Text"
"Text Editing","Toggle Overwrite","Insert","Editing Text"
"Edit","Find Previous","Ctrl+Shift+K","Embedded Xtext Editor context"
"Run/Debug","New Rendering","Ctrl+N","In Memory View"
"File","Rename","F2","In Windows"
"Run/Debug","Debug OSGi Framework","Alt+Shift+D, O","In Windows"
"Edit","Select Enclosing Element","Alt+Shift+Up","Editing JavaScript Source"
"Source","Quick Assist - Assign to var","Ctrl+2, F","Editing JavaScript Source"
"Text Editing","Select Line Start","Shift+Home","Embedded Xtext Editor context"
"Edit","Copy","Ctrl+C","In Dialogs and Windows"
"Source","Remove Occurrence Annotations","Alt+Shift+U","Editing JavaScript Source"
"Text Editing","Duplicate Lines","Ctrl+Alt+Up","Editing Text"
"Navigate","Next","Ctrl+.","In Windows"
"Edit","Delete","Delete","In Windows"
"Navigate","Open External JSDoc","Shift+F2","JavaScript View"
"Edit","Undo","Ctrl+Z","In Dialogs and Windows"
"Refactor - Java","Move - Refactoring ","Alt+Shift+V","In Windows"
"Terminal view commands","Terminal view insert","Alt+W","Terminal widget context"
"Views","Show View (Synchronize)","Alt+Shift+Q, Y","In Windows"
"Navigate","Open Type in Hierarchy","Ctrl+Shift+H","In Windows"
"Uncategorized","Find References","Ctrl+Shift+G","Editing Xtext Source"
"Edit","Incremental Find Reverse","Ctrl+Shift+J","Editing Text"
"Navigate","Quick Outline","Ctrl+O","WikiText Markup Source Context"
"Edit","Toggle Insert Mode","Ctrl+Shift+Insert","Editing Text"
"Window","Open Model Element","Ctrl+Shift+F3","In Windows"
"JavaScript Debug","Open Source","Ctrl+Shift+3","Debugging"
"Navigate","Expand All","Ctrl+Shift+Numpad_Multiply","In Windows"
"Edit","Quick Fix","Ctrl+1","In Dialogs and Windows"
"Source","Restore Last Selection","Alt+Shift+Down","Editing Xtext Source"
"Navigate","Quick Hierarchy","Ctrl+T","Editing Java Source"
"JavaScript Debug","JavaScript Breakpoint Properties","Ctrl+Enter","In Breakpoints View"
"Run/Debug","Coverage Eclipse Application","Alt+Shift+E, E","In Windows"
"Source","Select Previous Element","Alt+Shift+Left","Editing Xtext Source"
"Edit","Incremental Find Reverse","Ctrl+Shift+J","Embedded Xtext Editor context"
"View","Zoom Out","Ctrl+-","In Windows"
"Terminal view commands","Terminal view insert","Alt+E","Terminal widget context"
"Navigate","Show In Breadcrumb","Alt+Shift+B","Editor Breadcrumb Navigation"
"Text Editing","To Upper Case","Ctrl+Shift+X","Embedded Xtext Editor context"
"File","Save All","Ctrl+Shift+S","In Windows"
"Task","Mark Task Read and Go To Next Unread Task","Alt+Shift+Down","In Tasks View"
"Navigate","Open Plug-in Artifact","Ctrl+Shift+A","In Windows"
"Terminal view commands","Terminal view insert","Alt+T","Terminal widget context"
"Text Editing","Scroll Line Up","Ctrl+Up","Editing Text"
"Refactor - Java","Rename - Refactoring ","Alt+Shift+R","In Windows"
"Views","Show View (Problems)","Alt+Shift+Q, X","In Windows"
"Edit","Format","Ctrl+Shift+F","Editing in Structured Text Editors"
"Edit","Word Completion","Alt+/","Embedded Xtext Editor context"
"Navigate","Backward History","Alt+Left","In Windows"
"Edit","Select Enclosing Element","Alt+Shift+Up","Editing in Structured Text Editors"
"Source","Quick Assist - Rename in file","Ctrl+2, R","Editing JavaScript Source"
"Source","Quick Assist - Rename in file","Ctrl+2, R","Editing Java Source"
"Server","Stop","Ctrl+Alt+S","In Servers View"
"Terminal view commands","Terminal view insert","Alt+P","Terminal widget context"
"Project","Build All","Ctrl+B","In Windows"
"Text Editing","Insert Line Above Current Line","Ctrl+Shift+Enter","Embedded Xtext Editor context"
"Window","Previous Perspective","Ctrl+Shift+F8","In Windows"
"Source","Toggle Comment","Ctrl+Shift+C","Editing Xtext Source"
"Edit","Quick Diff Toggle","Ctrl+Shift+Q","Editing Text"
"Text Editing","Select Line End","Shift+End","Embedded Xtext Editor context"
"Run/Debug","Coverage JUnit Test","Alt+Shift+E, T","In Windows"
"Run/Debug","Go to Address","Ctrl+G","In Table Memory Rendering"
"Source","Show Source Quick Menu","Alt+Shift+S","JavaScript View"
"Text Editing","Delete Previous Word","Ctrl+Backspace","Editing Text"
"Terminal view commands","Terminal view insert","Alt+G","Terminal widget context"
"JAutodoc","Add Javadoc with Dialog","Ctrl+Alt+I","Editing Java Source"
"Source","Toggle Ant Mark Occurrences","Alt+Shift+O","Editing Ant Buildfiles"
"Source","Show Source Quick Menu","Alt+Shift+S","In Windows"
"Navigate","Quick Outline","Ctrl+O","Editing in Structured Text Editors"
"Source","Add Javadoc Comment","Alt+Shift+J","In Windows"
"Run/Debug","Previous Page of Memory","Ctrl+Shift+,","In Table Memory Rendering"
"Uncategorized","Rename Element","Alt+Shift+R","Editing Xtext Source"
"WindowBuilder Pro","Switch between Source/Design Views","F12","Editing Text"
"Text Editing","Line End","End","Editing Text"
"Refactor - JavaScript","Extract Local Variable","Alt+Shift+L","JavaScript View"
"Search","Show Occurrences in File Quick Menu","Ctrl+Shift+U","JavaScript View"
"Text Editing","Duplicate Lines","Ctrl+Alt+Up","Embedded Xtext Editor context"
"Edit","Incremental Find","Ctrl+J","Embedded Xtext Editor context"
"Task","New Local Task","Insert","In Tasks View"
"Task","Mark Task Complete","Alt+Shift+C","In Tasks Editor"
"Run/Debug","Resume","F8","Debugging"
"Navigate","Open Task","Ctrl+F12","In Windows"
"Edit","Paste","Ctrl+V","In Dialogs and Windows"
"Text Editing","Scroll Line Up","Ctrl+Up","Embedded Xtext Editor context"
"Edit","Restore Last Selection","Alt+Shift+Down","Editing JavaScript Source"
"Run/Debug","Run Java Application","Alt+Shift+X, J","In Windows"
"Text Editing","Delete Previous Word","Ctrl+Backspace","Embedded Xtext Editor context"
"Text Editing","To Lower Case","Ctrl+Shift+Y","Embedded Xtext Editor context"
"Source","Add Import","Ctrl+Shift+M","Editing Java Source"
"Source","Toggle Comment","Ctrl+Shift+C","Editing Properties Files"
"Edit","Select Next Element","Alt+Shift+Right","Editing Java Source"
"Terminal view commands","Terminal view insert","Alt+R","Terminal widget context"
"Source","Format","Ctrl+Shift+F","Editing Ant Buildfiles"
"Task","New Subtask","Shift+Insert","In Tasks View"
"Run/Debug","Run Android Application","Alt+Shift+A, R","In Windows"
"Views","Show View (History)","Alt+Shift+Q, Z","In Windows"
"Run/Debug","Run on Server","Alt+Shift+X, R","In Windows"
"Source","Open External Documentation","Shift+F2","Editing Ant Buildfiles"
"Source","Toggle Comment","Ctrl+/","Editing Properties Files"
"Edit","Add Block Comment","Ctrl+Shift+/","Editing in Structured Text Editors"
"Run/Debug","Debug JUnit Test","Alt+Shift+D, T","In Windows"
"Task","Mark Task Read and Go To Previous Unread Task","Alt+Shift+Up","In Tasks View"
"Navigate","Quick Outline","Ctrl+O","PDE editor"
"Text Editing","Scroll Line Down","Ctrl+Down","Embedded Xtext Editor context"
"Refactor - JavaScript","Move - Refactoring ","Alt+Shift+V","JavaScript View"
"Navigate","Open Maven POM","Alt+Shift+P","In Windows"
"Text Editing","Next Word","Ctrl+Right","Embedded Xtext Editor context"
"Run/Debug","Step Over","F6","Debugging"
"Server","Debug","Ctrl+Alt+D","In Servers View"
"Task Editor","Submit Task","Alt+Shift+S","In Tasks Editor"
"Source","Select Next Element","Alt+Shift+Right","Editing Xtext Source"
"Source","Toggle Mark Occurrences","Alt+Shift+O","Editing JavaScript Source"
"Navigate","Open Type","Ctrl+Shift+T","Editing JavaScript Source"
"Task","Mark Task Incomplete","Alt+Shift+I","In Tasks View"
"Run/Debug","Debug JUnit Test","Alt+Shift+D, T","Editing Xtend Source"
"Text Editing","Text End","Ctrl+End","Embedded Xtext Editor context"
"Edit","Find Next","Ctrl+K","Embedded Xtext Editor context"
"Navigate","Search Repository for Task","Ctrl+Shift+F12","In Windows"
"Uncategorized","Add Artifact to Target Platform","Ctrl+Alt+Shift+A","In Windows"
"JAutodoc","Add Header","Ctrl+Alt+K","Editing Java Source"
"Text Editing","Select Line End","Shift+End","Editing Text"
"Run/Debug","Add Memory Block","Ctrl+Alt+M","In Memory View"
"Run/Debug","Debug on Server","Alt+Shift+D, R","In Windows"
"File","Close","Ctrl+F4","In Windows"
"Text Editing","Move Lines Down","Alt+Down","Editing Text"
"File","Close All","Ctrl+Shift+F4","In Windows"
"Views","Show View (Javadoc)","Alt+Shift+Q, J","In Windows"
"Uncategorized","Open Declaration","F3","Editing Xtext Source"
"Task","Show Context Quick View","Ctrl+Alt+Shift+Right","In Windows"
"Views","Show View ()","Alt+Shift+Q, D","In Windows"
"Window","Previous View","Alt+H","In Windows"
"Source","Remove Occurrence Annotations","Alt+Shift+U","Editing Java Source"
"Text Editing","Join Lines","Ctrl+Alt+J","Embedded Xtext Editor context"
"Run/Debug","Run Last Launched","Ctrl+F11","In Windows"
"Window","Next View","Alt+L","In Windows"
"Source","Toggle Comment","Ctrl+7","Editing Properties Files"
"Task","Make Landmark","Ctrl+Alt+Shift+Up","In Windows"
"Text Editing","Insert Line Below Current Line","Shift+Enter","Embedded Xtext Editor context"
"Run/Debug","Coverage SWTBot Test","Alt+Shift+E, S","In Windows"
"Source","Remove Block Comment","Ctrl+Shift+\","Editing Java Source"
"Source","Go to Matching Bracket","Ctrl+Shift+P","Editing Xtext Source"
"Git","Paste Repository Path or URI","Ctrl+V","In Git Repositories View"
"Run/Debug","Debug Eclipse Application","Alt+Shift+D, E","In Windows"
"Navigate","Open Declaration","F3","In Windows"
"Text Editing","Expand","Ctrl+Numpad_Add","Editing Text"
"Edit","Select Next Element","Alt+Shift+Right","Editing in Structured Text Editors"
"Edit","Previous Sibling","Ctrl+Shift+Up","Editing in Structured Text Editors"
"Text Editing","Select Next Word","Ctrl+Shift+Right","Editing Text"
"Navigate","Collapse All","Ctrl+Shift+Numpad_Divide","In Windows"
"Run/Debug","Run OSGi Framework","Alt+Shift+X, O","In Windows"
"Source","Remove Block Comment","Ctrl+Shift+\","Editing JavaScript Source"
"Text Editing","Move Lines Down","Alt+Down","Embedded Xtext Editor context"
"Git","Copy Path to Clipboard","Ctrl+C","In Git Repositories View"
"Views","Show View (Task List)","Alt+Shift+Q, K","In Windows"
"Views","Show View","Alt+Shift+Q, Q","In Windows"
"Run/Debug","Debug Java Application","Alt+D, J","Editing Xtend Source"
"Text Editing","Delete Next Word","Ctrl+Delete","Editing Text"
"Views","Show View (Variables)","Alt+Shift+Q, V","In Windows"
"Views","Show View (Type Hierarchy)","Alt+Shift+Q, T","In Windows"
"Run/Debug","Coverage RAP JUnit Test","Alt+Shift+E, R","In Windows"
"Run/Debug","Toggle Memory Monitors Pane","Ctrl+T","In Memory View"
"Run/Debug","Debug Ant Build","Alt+Shift+D, Q","In Windows"
"Uncategorized","Insert left guillemet","Ctrl+<","Editing Xtend Source"
"Run/Debug","Run Java Application","Alt+Shift+X, J","Editing Xtend Source"
"Source","Select Enclosing Element","Alt+Shift+Up","Editing Xtext Source"
"Views","Show View (Console)","Alt+Shift+Q, C","In Windows"
"Source","Toggle Comment","Ctrl+Shift+C","Editing JavaScript Source"
"Window","Show Contributing Plug-in","Alt+Shift+F3","In Dialogs and Windows"
"Run/Debug","Coverage Scala Application","Alt+Shift+E, L","In Windows"
"Run/Debug","Coverage Java Application","Alt+Shift+E, J","In Windows"
"Source","Correct Indentation","Ctrl+I","Editing Java Source"
"Text Editing","Scroll Line Down","Ctrl+Down","Editing Text"
"Views","Show View (Script Explorer)","Alt+Shift+Q, P","JavaScript View"
"Search","References in Workspace","Ctrl+Shift+G","In Windows"
"Search","Show Occurrences in File Quick Menu","Ctrl+Shift+U","In Windows"
"Window","Show Ruler Context Menu","Ctrl+F10","Embedded Xtext Editor context"
"Terminal view commands","Terminal view insert","Alt+S","Terminal widget context"
"Run/Debug","Debug Android Application","Alt+Shift+A, D","In Windows"
"Navigate","Go to Previous Member","Ctrl+Shift+Up","Editing JavaScript Source"
"Run/Debug","Use Step Filters","Shift+F5","In Windows"
"Run/Debug","Next Memory Monitor","Ctrl+Alt+N","In Memory View"
"Edit","Content Assist","Ctrl+Space","In Dialogs and Windows"
"Navigate","Show In...","Alt+Shift+W","In Windows"
"File","Close","Ctrl+W","In Windows"
"Source","Organize Imports","Ctrl+Shift+O","JavaScript View"
"Navigate","Open Attached Javadoc","Shift+F2","In Windows"
"Text Editing","Delete Next Word","Ctrl+Delete","Embedded Xtext Editor context"
"Run/Debug","Step Return","F7","Debugging"
"Edit","Select Previous Element","Alt+Shift+Left","Editing JavaScript Source"
"Run/Debug","Step Into Selection","Ctrl+F5","Debugging"
"Refactor - Java","Extract Method","Alt+Shift+M","In Windows"
"Edit","Format Active Elements","Ctrl+I","Editing in Structured Text Editors"
"File","Properties","Alt+Enter","In Windows"
"Run/Debug","Toggle Breakpoint","Ctrl+Shift+B","In Windows"
"Source","Format","Ctrl+Shift+F","Editing JavaScript Source"
"JAutodoc","Add Javadoc","Ctrl+Alt+J","Editing Java Source"
"Edit","Restore Last Selection","Alt+Shift+Down","Editing in Structured Text Editors"
"Android Refactorings","Extract Android String","Alt+Shift+A, S","In Windows"
"Navigate","Open Structure","Ctrl+F3","Editing Java Source"
"Edit","Select Previous Element","Alt+Shift+Left","Editing Java Source"
"Task","Make Less Interesting","Ctrl+Alt+Shift+Down","In Windows"
"Run/Debug","Display","Ctrl+Shift+D","In Dialogs and Windows"
"Refactor - JavaScript","Extract Function","Alt+Shift+M","JavaScript View"
"Refactor - JavaScript","Show Refactor Quick Menu","Alt+Shift+T","JavaScript View"
"Uncategorized","Insert right guillemet",">","Editing Xtend Source"
"Views","Show View (Search)","Alt+Shift+Q, S","In Windows"
"Refactor - Java","Extract Local Variable","Alt+Shift+L","In Windows"
"Text Editing","Show Tooltip Description","F2","Editing Text"
"Server","Publish","Ctrl+Alt+P","In Servers View"
"Task","Mark Task Unread","Alt+Shift+U","In Tasks Editor"
"Text Editing","Insert Line Below Current Line","Shift+Enter","Editing Text"
"Window","Next Perspective","Ctrl+F8","In Windows"
"Edit","Incremental Find","Ctrl+J","Editing Text"
"Edit","Matching Tag","Ctrl+Shift+>","Editing in Structured Text Editors"
"Views","Show View (Outline)","Alt+Shift+Q, O","In Windows"
"Run/Debug","Run JUnit Plug-in Test","Alt+Shift+X, P","In Windows"
"Source","Toggle Comment","Ctrl+/","Editing JavaScript Source"
"Terminal view commands","Terminal view insert","Alt+A","Terminal widget context"
"Navigate","Open Type in Hierarchy","Ctrl+Shift+H","JavaScript View"
"Navigate","Next Page","Alt+F7","In Windows"
"Views","Show View (Package Explorer)","Alt+Shift+Q, P","In Windows"
"Text Editing","To Lower Case","Ctrl+Shift+Y","Editing Text"
"Navigate","Quick Hierarchy","Ctrl+T","Editing JavaScript Source"
"Source","Organize Imports","Ctrl+Shift+O","In Windows"
"Views","Show View (Error Log)","Alt+Shift+Q, L","In Windows"
"File","Close All","Ctrl+Shift+W","In Windows"
"Edit","Open Selection","F3","Editing in Structured Text Editors"
"Search","Declaration in Workspace","Ctrl+G","JavaScript View"
"Task","Open Selected Task","Ctrl+Enter","In Tasks View"
"Edit","Occurrences in File","Ctrl+Shift+A","Editing in Structured Text Editors"
"WindowBuilder Pro","Empty command","Ctrl+Alt+A","WindowBuilder Java scope"
"Source","Surround With Quick Menu","Alt+Shift+Z","JavaScript View"
"Refactor - Java","Change Method Signature","Alt+Shift+C","In Windows"
"Edit","Find Next","Ctrl+K","Editing Text"
"Text Editing","Delete to End of Line","Ctrl+Shift+Delete","Embedded Xtext Editor context"
"Navigate","Deactivate Task","Ctrl+Shift+F9","In Windows"
"Window","Activate Editor","F12","In Windows"
"Window","Quick Access","Ctrl+Enter","In Windows"
"Text Editing","Select Previous Word","Ctrl+Shift+Left","Embedded Xtext Editor context"
"Run/Debug","Run JUnit Test","Alt+Shift+X, T","In Windows"
"Text Editing","Delete Line","Ctrl+D","Embedded Xtext Editor context"
"WindowBuilder Pro","Empty command","Ctrl+Shift+A","WindowBuilder Java scope"
"Edit","Select Enclosing Element","Alt+Shift+Up","Editing Java Source"
"Navigate","Go To Next Unread Task","Alt+Down","In Tasks View"
"Edit","Add Maven Plugin","Ctrl+Shift+P","Editing XML Source"
"Text Editing","Next Word","Ctrl+Right","Editing Text"
"Window","Maximize Active View or Editor","Ctrl+M","In Windows"
"Views","Show View (Declaration)","Alt+Shift+Q, D","JavaScript View"
"Run/Debug","Run JUnit Test","Alt+Shift+X, T","Editing Xtend Source"
"Task","Mark Task Read","Alt+Shift+R","In Tasks Editor"
"Edit","Select Next Element","Alt+Shift+Right","Editing JavaScript Source"
"Run/Debug","Coverage JUnit Plug-in Test","Alt+Shift+E, P","In Windows"
"Uncategorized","Organize Imports","Ctrl+Shift+O","Editing Xtend Source"
"Edit","Paste","Shift+Insert","In Dialogs and Windows"
"Run/Debug","Run Eclipse Application","Alt+Shift+X, E","In Windows"
"Edit","Cut","Ctrl+X","In Dialogs and Windows"
"Navigate","Go to Line","Ctrl+L","Editing Text"
"Text Editing","Text Start","Ctrl+Home","Editing Text"
"Edit","Context Information","Ctrl+Shift+Space","In Dialogs and Windows"
"Views","Show View (Breakpoints)","Alt+Shift+Q, B","In Windows"
"Edit","Toggle Insert Mode","Ctrl+Shift+Insert","Embedded Xtext Editor context"
"Window","Show Key Assist","Ctrl+Shift+L","In Dialogs and Windows"
"Navigate","Previous Page","Alt+Shift+F7","In Windows"
"Text Editing","Select Next Word","Ctrl+Shift+Right","Embedded Xtext Editor context"
"Run/Debug","Debug JUnit Plug-in Test","Alt+Shift+D, P","Editing Xtend Source"
"Edit","Remove Block Comment","Ctrl+Shift+\","Editing in Structured Text Editors"
"Source","Toggle Comment","Ctrl+7","Editing Java Source"
"Run/Debug","All Instances","Ctrl+Shift+N","In Windows"
"Edit","Toggle Block Selection","Alt+Shift+A","Embedded Xtext Editor context"
"Task","Mark Task Incomplete","Alt+Shift+I","In Tasks Editor"
"File","Print","Ctrl+P","In Windows"
"Navigate","Open Resource","Ctrl+Shift+R","In Windows"
"Run/Debug","Debug Java Application","Alt+Shift+D, J","In Windows"
"Run/Debug","Force Return","Alt+Shift+F","In Windows"
"Git","Commit...","Ctrl+#","In Windows"
"Source","Quick Assist - Assign to local variable","Ctrl+2, L","Editing Java Source"
"Source","Add Block Comment","Ctrl+Shift+/","Editing Java Source"
"Edit","Find and Replace","Ctrl+F","In Windows"
"Search","Find Text in Workspace","Ctrl+Alt+G","In Windows"
"File","Save","Ctrl+S","In Windows"
"Task Editor","Maximize Part","Ctrl+Shift+M","In Tasks Editor"
"Run/Debug","Terminate","Ctrl+F2","Debugging"
"Edit","Redo","Ctrl+Y","In Dialogs and Windows"
"Search","Open Search Dialog","Ctrl+H","In Windows"
"Source","Rename In File","Alt+Shift+R","Editing Ant Buildfiles"
"Search","References in Workspace","Ctrl+Shift+G","JavaScript View"
"Text Editing","Copy Lines","Ctrl+Alt+Down","Embedded Xtext Editor context"
"Uncategorized","Detect unnecessary code","Alt+Shift+U","In Windows"
"Edit","Cut","Shift+Delete","In Dialogs and Windows"
"Navigate","Open Remote Task","Ctrl+Alt+Shift+F12","In Windows"
"Terminal view commands","Terminal view insert","Alt+H","Terminal widget context"
"Source","Toggle Comment","Ctrl+/","Editing Xtext Source"
"Text Editing","Delete to End of Line","Ctrl+Shift+Delete","Editing Text"
"Source","Format","Ctrl+Shift+F","Editing Xtext Source"
"Navigate","Open Declaration","F3","JavaScript View"
"Terminal view commands","Terminal view insert","Alt+N","Terminal widget context"
"Text Editing","Show Tooltip Description","F2","Embedded Xtext Editor context"
"Navigate","Open Type","Ctrl+Shift+T","In Windows"
"Source","Add Import","Ctrl+Shift+M","Editing JavaScript Source"
"Text Editing","Delete Line","Ctrl+D","Editing Text"
"Source","Quick Assist - Assign to local variable","Ctrl+2, L","Editing JavaScript Source"
"Navigate","Open Type Hierarchy","F4","In Windows"
"Edit","Select Previous Element","Alt+Shift+Left","Editing in Structured Text Editors"
"Text Editing","Toggle Overwrite","Insert","Embedded Xtext Editor context"
"Run/Debug","Run JUnit Plug-in Test","Alt+Shift+X, P","Editing Xtend Source"
"Source","Toggle Comment","Ctrl+7","Editing Xtext Source"
"Text Editing","Select Previous Word","Ctrl+Shift+Left","Editing Text"
"Navigate","Quick Outline","Ctrl+O","Editing Java Source"
"JavaScript Debug","Evaluate","Alt+Shift+E","Editing JavaScript Source"
"Server","Run","Ctrl+Alt+R","In Servers View"
"Text Editing","Copy Lines","Ctrl+Alt+Down","Editing Text"
"Run/Debug","Next Page of Memory","Ctrl+Shift+.","In Table Memory Rendering"
"View","Zoom In","Ctrl+=","In Windows"
"File","New menu","Alt+Shift+N","In Windows"
"Text Editing","Text End","Ctrl+End","Editing Text"
"Source","Toggle Comment","Ctrl+Shift+C","Editing Java Source"
"Task","Mark Task Read","Alt+Shift+R","In Tasks View"
"Navigate","Last Edit Location","Ctrl+Q","In Windows"
"Navigate","Go to Line","Ctrl+L","Embedded Xtext Editor context"
"Navigate","Matching Bracket","Ctrl+Shift+P","Editing in Structured Text Editors"
"Edit","Copy","Ctrl+Insert","In Dialogs and Windows"
"Task","Mark Task Unread","Alt+Shift+U","In Tasks View"
"Window","Show System Menu","Alt+-","In Windows"
"Run/Debug","EOF","Ctrl+Z","In I/O Console"
"Text Editing","Move Lines Up","Alt+Up","Editing Text"
"Terminal view commands","Terminal view insert","Alt+V","Terminal widget context"
"Source","Format","Ctrl+Shift+F","Editing Java Source"
"Source","Add JSDoc Comment","Alt+Shift+J","JavaScript View"
"Edit","Next Sibling","Ctrl+Shift+Down","Editing in Structured Text Editors"
"WikiText Markup Editing Commands","Display Cheat Sheet","F1","WikiText Markup Source Context"
"Run/Debug","Step Into","F5","Debugging"
"Views","Show View ()","Alt+Shift+Q, J","JavaScript View"
"Uncategorized","Quick Hierarchy","Ctrl+T","Editing Xtext Source"
"Text Editing","Expand All","Ctrl+Numpad_Multiply","Editing Text"
"Navigate","Open Type Hierarchy","F4","JavaScript View"
"Source","Indent Line","Ctrl+I","Editing JavaScript Source"
"Navigate","Open Call Hierarchy","Ctrl+Alt+H","JavaScript View"
"Refactor - Java","Show Refactor Quick Menu","Alt+Shift+T","In Windows"
"Navigate","Go To Previous Unread Task","Alt+Up","In Tasks View"
"Edit","Toggle Comment","Ctrl+Shift+C","Editing in Structured Text Editors"
"Navigate","Show In Breadcrumb","Alt+Shift+B","Editing Java Source"
